"","court_name","n"
"1","Accomack General District Court",219
"2","Albemarle General District Court",406
"3","Alexandria General District Court",606
"4","Alleghany General District Court",167
"5","Amelia General District Court",77
"6","Amherst General District Court",303
"7","Appomattox General District Court",119
"8","Arlington General District Court",743
"9","Augusta General District Court",403
"10","Bath General District Court",22
"11","Bedford General District Court",523
"12","Bland General District Court",12
"13","Botetourt General District Court",132
"14","Bristol General District Court",296
"15","Brunswick General District Court",112
"16","Buchanan General District Court",63
"17","Buckingham General District Court",123
"18","Buena Vista General District Court",73
"19","Campbell General District Court",557
"20","Caroline General District Court",275
"21","Carroll General District Court",174
"22","Charles City General District Court",43
"23","Charlotte General District Court",118
"24","Charlottesville General District Court",353
"25","Chesapeake General District Court",1630
"26","Chesterfield General District Court",1932
"27","Clarke General District Court",63
"28","Colonial Heights General District Court",317
"29","Craig General District Court",33
"30","Culpeper General District Court",324
"31","Cumberland General District Court",101
"32","Danville General District Court",678
"33","Dickenson General District Court",48
"34","Dinwiddie General District Court",226
"35","Emporia General District Court",132
"36","Essex General District Court",92
"37","Fairfax County General District Court",2770
"38","Falls Church General District Court",36
"39","Fauquier General District Court",321
"40","Floyd General District Court",77
"41","Fluvanna General District Court",110
"42","Franklin City General District Court",132
"43","Franklin County General District Court",349
"44","Frederick General District Court",399
"45","Fredericksburg General District Court",267
"46","Galax General District Court",70
"47","Giles General District Court",126
"48","Gloucester General District Court",245
"49","Goochland General District Court",86
"50","Grayson General District Court",82
"51","Greene General District Court",102
"52","Greensville General District Court",96
"53","Halifax General District Court",238
"54","Hampton General District Court",1710
"55","Hanover General District Court",447
"56","Harrisonburg/Rockingham General District Court",866
"57","Henrico General District Court",2373
"58","Henry General District Court",493
"59","Highland General District Court",7
"60","Hopewell General District Court",560
"61","Isle of Wight General District Court",207
"62","King and Queen General District Court",63
"63","King George General District Court",144
"64","King William General District Court",117
"65","Lancaster General District Court",87
"66","Lee General District Court",146
"67","Lexington/Rockbridge General District Court",192
"68","Loudoun General District Court",735
"69","Louisa General District Court",247
"70","Lunenburg General District Court",106
"71","Lynchburg General District Court",1223
"72","Madison General District Court",79
"73","Martinsville General District Court",298
"74","Mathews General District Court",55
"75","Mecklenburg General District Court",236
"76","Middlesex General District Court",88
"77","Montgomery/Christiansburg General District Court",541
"78","Nelson General District Court",111
"79","New Kent General District Court",102
"80","Newport News-Civil General District Court",2305
"81","Norfolk General District Court",4546
"82","Northampton General District Court",91
"83","Northumberland General District Court",75
"84","Nottoway General District Court",154
"85","Orange General District Court",283
"86","Page General District Court",310
"87","Patrick General District Court",85
"88","Petersburg General District Court",915
"89","Pittsylvania General District Court",411
"90","Portsmouth General District Court",2480
"91","Powhatan General District Court",148
"92","Prince Edward General District Court",201
"93","Prince George General District Court",214
"94","Prince William General District Court",2339
"95","Pulaski General District Court",341
"96","Radford General District Court",135
"97","Rappahannock General District Court",29
"98","Richmond County General District Court",50
"99","Richmond-Civil General District Court",3845
"100","Roanoke City General District Court",1854
"101","Roanoke County General District Court",553
"102","Russell General District Court",133
"103","Salem General District Court",240
"104","Scott General District Court",98
"105","Shenandoah General District Court",342
"106","Smyth General District Court",278
"107","Southampton General District Court",143
"108","Spotsylvania General District Court",809
"109","Stafford General District Court",758
"110","Staunton General District Court",295
"111","Suffolk General District Court",1139
"112","Surry General District Court",62
"113","Sussex General District Court",122
"114","Tazewell General District Court",274
"115","Virginia Beach General District Court",3640
"116","Warren General District Court",374
"117","Washington General District Court",412
"118","Waynesboro General District Court",265
"119","Westmoreland General District Court",197
"120","Williamsburg/James City County General District Court",609
"121","Winchester General District Court",308
"122","Wise/Norton General District Court",229
"123","Wythe General District Court",212
"124","York General District Court",312
